Date,Close,High,Low,Open,Volume
2015-01-02,24.23755645751953,24.70532612789623,23.79860610220979,24.69424086520776,212818400
2015-01-05,23.55474090576172,24.0868012739077,23.36852070716593,24.006992134117137,257142000
2015-01-06,23.556961059570312,23.816339948630354,23.195602497746687,23.619034466383983,263188400
2015-01-07,23.88727569580078,23.987036263456744,23.654498782772745,23.76534460966741,160423600
2015-01-08,24.80508041381836,24.862720720656704,24.097883456887466,24.215381460812253,237458000
2015-01-09,24.83168601989746,25.106583234710648,24.432640311803063,24.97800165194986,214798000
2015-01-12,24.219816207885742,24.969133482585438,24.120055627743543,24.962483002759065,198603200
2015-01-13,24.434860229492188,25.006825239793912,24.144444634403246,24.703106992143734,268367600
2015-01-14,24.341745376586914,24.494711474568152,24.05354553692245,24.173259238412005,195826400
2015-01-15,23.681108474731445,24.399389143979025,23.645638680525572,24.386088182573513,240056000
2015-01-16,23.497102737426758,23.849593418861012,23.321966091998515,23.7276623076852,314053200
2015-01-20,24.10232162475586,24.157744549135312,23.610165785646576,23.907231848461198,199599600
2015-01-21,24.286319732666016,24.621072889818013,24.00255301394987,24.15330339614755,194303600
2015-01-22,24.918140411376953,24.93365875835831,24.32400675479041,24.443720442092136,215185600
2015-01-23,25.046720504760742,25.217422311588972,24.725266634096982,24.895970132298086,185859200
2015-01-26,25.073331832885742,25.352663858509775,25.006825335319498,25.215214390675268,222460000
2015-01-27,24.195430755615234,24.935881874965276,24.171044534562267,24.922579223516976,382274800
2015-01-28,25.56327247619629,26.186227378641483,25.56327247619629,26.077597214719916,585908400
2015-01-29,26.359140396118164,26.423431184589887,25.61868932490351,25.78717547085102,337745600
2015-01-30,25.973400115966797,26.603003725613746,25.9046745395417,26.248297347546913,334982000
2015-02-02,26.29928207397461,26.41899577815114,25.73396933307641,26.17070219145008,250956400
2015-02-03,26.3037166595459,26.40125984300976,26.07315712262307,26.270462571181156,207662800
2015-02-04,26.505460739135742,26.716068881898618,26.228346097111075,26.27046806393836,280598800
